nc	1888	鸟巢	nc	鸟巢 
zc_xs	115	重锤锈蚀	zcxs	金具锈蚀
qtgh_xs	21	球头挂环锈蚀	jjxs	金具锈蚀
lb_xs	21	连板锈蚀	jjxs	金具锈蚀
jyz_jjxs	8	绝缘子金具锈蚀	jjxs	金具锈蚀
xjjxs	1330	小金具锈蚀	jjxs	金具锈蚀
zjgb_xs	5	直角挂板锈蚀	gbxs	部件锈蚀
uxls_xs	100	U型螺栓锈蚀	gbxs	部件锈蚀
uxgh_xs	27	U型挂环锈蚀	gbxs	部件锈蚀
fzc_xs	3297	防震锤锈蚀	fzcxs	防震锤锈蚀
fzc_sh	5	防震锤损坏	fzcxs	防震锤锈蚀
fzc_px	81	防振锤偏斜	fzcxs	防震锤锈蚀
fzc_hycp	27	防震锤滑移触碰	fzcxs	防震锤锈蚀
fhjyz_sqfh	447	复合绝缘子伞裙粉化	jyzzw	绝缘子赃污
fhjyz_sqbx	18	复合绝缘子伞裙变形	jyzzw	绝缘子赃污
bljyz_sqzw	5	玻璃绝缘子伞裙脏污	jyzzw	绝缘子赃污
tcjyz_sqzw	51	陶瓷绝缘子伞裙脏污	jyzzw	绝缘子赃污
fhjyz_sqps	35	复合绝缘子伞裙破损	jyzzw	绝缘子赃污
tcjyz_sqps	8	陶瓷绝缘子伞裙破损	jyzzw	绝缘子赃污
tcjyz_dhss	8	陶瓷绝缘子电弧烧伤	jyzzw	绝缘子赃污
fhjyz_dhss	2	复合绝缘子电弧烧伤	jyzzw	绝缘子赃污 
xjqx	112	线夹倾斜	xjwt	线夹问题
nzxj_xs	6	耐张线夹锈蚀	xjwt	线夹问题
gt_yw	484	杆塔异物	gtyw	杆塔异物
